132,Northampton Borough Council,1,England,225700,3 June 2019
132,North Hertfordshire District Council,1,England,133321,21 May 2019
132,North Norfolk District Council,1,England,104067,24 April 2019
132,North Somerset Council  (UA),1,England,212800,19 February 2019
132,Northumberland County Council,1,England,319000,11 June 2019
132,Norwich City Council,1,England,141300,29 January 2019
132,Orkney Islands Council,1,Scotland,22100,14 May 2019
132,Oswestry Town Council,1,England,17105,17 December 2018
132,Otley Town Council,1,England,13668,25 March 2019
132,Oxford City Council,1,England,150200,28 January 2019
132,Oxfordshire County Council,1,England,682400,2 April 2019
132,Pembrokeshire County Council,1,Wales,124700,9 May 2019
132,Pennard Community Council,1,Wales,2688,13 May 2019
132,Plymouth City Council (UA),1,England,234982,18 March 2019
132,Portsmouth City Council (UA),1,England,205100,19 March 2019
132,Preston City Council,1,England,141300,18 April 2019
132,Rattery Parish Council,1,England,2321,9 April 2019
132,Reading Borough Council (UA),1,England,163100,26 February 2019
132,Redcar and Cleveland Borough Council,1,England,136005,28 March 2019
132,Ross-on-Wye Town Council,1,England,10700,10 June 2019
132,Rushcliffe Borough Council (UA),1,England,114474,7 March 2019
132,Parish of Saint Helier,1,Jersey,33500,28 March 2019
132,St Neots Town Council,1,England,31165,26 February 2019
132,Scarborough Borough Council,1,England,107902,7 January 2019
132,Sheffield City Council (UA),1,England,577800,6 February 2019
132,Shrewsbury Town Council,1,England,71715,25 March 2019
132,Shropshire Council,1,England,493200,16 May 2019
132,Somerset County Council ,1,England,555200,20 February 2019
132,Somerset West and Taunton Council,1,England,149800,21 February 2019
132,South Lakeland District Council,1,England,103454,26 February 2019
132,South Oxfordshire District Council,1,England,139767,11 April 2019
132,South Somerset District Council,1,England,167216,21 May 2019
132,Southwark London Borough Council,1,England,314232,27 March 2019
132,Stevenage Borough Council,1,England,87700,12 June 2019
132,Stithians Parish Council,1,England,2101,15 January 2019
132,Stroud District Council (UA),1,England,116627,13 December 2018
132,Suffolk County Council,1,England,757000,21 March 2019
132,Teignbridge District Council,1,England,131437,18 April 2019
132,Three Rivers District Council,1,England,92600,21 May 2019
132,Totnes Town Council,1,England,8076,3 December 2018
132,Tower Hamlets London Borough Council,1,England,308000,20 March 2019
132,Trafford Council (UA),1,England,233288,28 November 2018
132,Tywyn Town Council,1,Wales,3264,13 February 2019
132,Vale of White Horse District Council,1,England,126663,13 February 2019
132,Wakefield Council,1,England,99251,23 May 2019
132,Waltham Forest London Borough Council,1,England,277600,25 April 2019
132,Watlington Parish Council,1,England,2727,12 March 2019
132,Welsh Parliament,1,Wales,3125000,29 April 2019
132,Welshpool Town Council,1,Wales,6664,27 February 2019
132,West Devon Borough Council,1,England,55300,21 May 2019
132,West Dunbartonshire Council,1,Scotland,89610,29 May 2019
132,West Sussex County Council,1,England,852353,5 April 2019
132,Wiltshire Council (UA),1,England,435000,26 February 2019
132,Winchester City Council,1,England,123900,5 June 2019
132,Wyre Forest District Council,1,England,100700,22 May 2019
132,City of York Council (UA),1,England,208200,21 March 2019
