"Country Code","Population (Thousands)","Region","Country"
LCA,181.889,"Latin America & Caribbean ","Saint Lucia"
LIE,37.91,"Europe & Central Asia","Liechtenstein"
LKA,21228.763,"South Asia","Sri Lanka"
LSO,2108.328,"Sub-Saharan Africa ","Lesotho"
LTU,2801.264,"Europe & Central Asia","Lithuania"
LUX,604.245,"Europe & Central Asia","Luxembourg"
LVA,1928.4589999999998,"Europe & Central Asia","Latvia"
MAC,631.636,"East Asia & Pacific","China, Macao SAR"
MAF,37.264,"Latin America & Caribbean ","Saint-Martin (French part)"
MAR,36029.093,"Middle East & North Africa","Morocco"
MCO,38.681999999999995,"Europe & Central Asia","Monaco"
MDA,4051.9440000000004,"Europe & Central Asia","Republic of Moldova"
MDG,26262.313,"Sub-Saharan Africa ","Madagascar"
MDV,515.696,"South Asia","Maldives"
MEX,126190.788,"Latin America & Caribbean ","Mexico"
MHL,58.413000000000004,"East Asia & Pacific","Marshall Islands"
MKD,2082.9570000000003,"Europe & Central Asia","North Macedonia"
MLI,19077.749,"Sub-Saharan Africa ","Mali"
MLT,439.24800000000005,"Middle East & North Africa","Malta"
MMR,53708.32,"East Asia & Pacific","Myanmar"
MNE,627.809,"Europe & Central Asia","Montenegro"
MNG,3170.216,"East Asia & Pacific","Mongolia"
MNP,56.882,"East Asia & Pacific","Northern Mariana Islands"
MOZ,29496.004,"Sub-Saharan Africa ","Mozambique"
MRT,4403.313,"Sub-Saharan Africa ","Mauritania"
MUS,1267.185,"Sub-Saharan Africa ","Mauritius"
MWI,18143.217,"Sub-Saharan Africa ","Malawi"
MYS,31528.033,"East Asia & Pacific","Malaysia"
NAM,2448.301,"Sub-Saharan Africa ","Namibia"
NCL,279.993,"East Asia & Pacific","New Caledonia"
NER,22442.822,"Sub-Saharan Africa ","Niger"
NGA,195874.68300000002,"Sub-Saharan Africa ","Nigeria"
NIC,6465.501,"Latin America & Caribbean ","Nicaragua"
NLD,17059.56,"Europe & Central Asia","Netherlands"
NOR,5337.9619999999995,"Europe & Central Asia","Norway"
NPL,28095.714,"South Asia","Nepal"
NRU,10.67,"East Asia & Pacific","Nauru"
NZL,4743.130999999999,"East Asia & Pacific","New Zealand"
OMN,4829.473,"Middle East & North Africa","Oman"
PAK,212228.28600000002,"South Asia","Pakistan"
PAN,4176.869000000001,"Latin America & Caribbean ","Panama"
PER,31989.26,"Latin America & Caribbean ","Peru"
PHL,106651.394,"East Asia & Pacific","Philippines"
PLW,17.907,"East Asia & Pacific","Palau"
PNG,8606.323,"East Asia & Pacific","Papua New Guinea"
POL,37921.592000000004,"Europe & Central Asia","Poland"
PRI,3039.5959999999995,"Latin America & Caribbean ","Puerto Rico"
